prompt,fold,instr_gen,ex_gen,qwk
4,0,25,25,0.6311826686572936
4,4,25,25,0.5849022839651519
3,3,25,25,0.5496783416726233
4,1,25,25,0.48452699974303437
3,1,25,25,0.5257788152765104
3,0,25,25,0.4099511803651441
4,3,25,25,0.6004611131900099
4,2,25,25,0.5968030503006305
3,2,25,25,0.3985462281712614
1,3,25,25,0.2759073185362927
1,2,25,25,0.46845772369296823
1,0,25,25,0.4227100048743878
1,4,25,25,0.25930492409647843
2,1,25,25,0.3721151056365891
2,2,25,25,0.5128083169124142
1,1,25,25,0.24519084366074606
2,4,25,25,0.5582536812193232
5,0,25,25,0.5165795179186328
2,3,25,25,0.4370899044549327
2,0,25,25,0.4182825484764542
6,0,25,25,0.2533783783783784
5,3,25,25,0.4650144775540913
5,4,25,25,0.5019187514141087
5,1,25,25,0.6112800188211449
5,2,25,25,0.6166411593840772
6,3,25,25,0.5180526057833688
7,1,25,25,0.5647048337694818
6,1,25,25,0.5069699887911845
8,3,25,25,0.3118637564210385
8,2,25,25,0.5141471250610266
3,4,25,25,0.46999623777276145
8,1,25,25,0.25738302932113644
6,4,25,25,0.5314814814814814
8,0,25,25,0.3940059204283104
8,4,25,25,0.3585781905867643
7,0,25,25,0.5391967617969531
7,2,25,25,0.46560027157418826
7,4,25,25,0.5157630041191685
7,3,25,25,0.6031237130996929
6,2,25,25,0.46917334807851807
