prompt,fold,source_gen,val_fitness,qwk
1,0,13,0.4670656331493377,0.27301853877893334
1,0,13,0.4670656331493377,0.24669055211962876
8,2,22,0.5632277416814762,0.4429704974987768
8,1,21,0.5749868485143692,0.23713755844040463
4,4,3,0.5696609127981678,0.5343032945838007
3,1,1,0.529967880734501,0.3902609180968327
3,2,7,0.5115589011443372,0.36001098050959557
3,3,20,0.4904110279478844,0.4544961100054279
4,0,20,0.6499433673129456,0.4746376329344745
6,0,3,0.6740938564428702,0.5057166190281748
3,4,3,0.4878119523838298,0.40055966054576053
8,4,12,0.6804451510333864,0.4289117210291047
4,3,10,0.7164704490327161,0.518381288716494
4,2,8,0.6753644458870183,0.49842636472162927
5,3,4,0.6613446609052293,0.5204148540085639
3,0,21,0.5806188151721781,0.40264936992755385
5,1,20,0.7046324245953461,0.5066184598127991
8,3,17,0.6570131332573883,0.3303494991063517
5,0,2,0.6032201697453818,0.5865271708791314
5,4,7,0.6323057757044026,0.5133954231244627
1,2,24,0.58990768533726,0.3553181411799655
6,3,4,0.635517452541335,0.5349287859703517
5,2,24,0.6327044334571454,0.4879551204487955
6,1,11,0.711969879203054,0.5522566981678688
2,3,21,0.5363577165183416,0.41066198008201515
4,1,14,0.6441837155828076,0.3485237653912353
1,1,23,0.5368696152355229,0.33165753539487275
1,1,23,0.5368696152355229,0.3407436343620156
1,2,24,0.58990768533726,0.3553181411799655
1,3,18,0.4899043855688813,0.18898652293508456
1,3,18,0.4899043855688813,0.19085124162678357
2,0,15,0.6121372031662269,0.47867435158501437
1,4,18,0.5172214565147781,0.332143263915051
1,4,18,0.5172214565147781,0.32485488928187833
7,2,25,0.6153226747338412,0.5408364497430187
2,2,4,0.5679031507061928,0.4216271173435132
6,4,17,0.6340164595772149,0.4722010662604722
2,1,5,0.5326965466568698,0.31620050853614234
2,4,5,0.5455772484459062,0.3571715548413017
7,1,9,0.6487375597238978,0.5842451453287568
7,0,23,0.6576477009914473,0.6088472264277591
7,4,6,0.6168488489670596,0.5359671722641889
6,2,20,0.5633970198372795,0.4059566640517219
7,3,3,0.5696936913741926,0.5438960208327388
